id,amount,updated_at
"0002",250000,"07/04/2026 22:50:17"
"0003",2566000,"07/04/2026 22:50:17"
"0004",10000,"07/04/2026 22:50:17"
"0005",15900,"07/04/2026 22:50:17"
"0006",45000,"07/04/2026 22:50:17"
"0007",63000,"07/04/2026 22:50:17"
"0008",58565,"07/04/2026 22:50:17"
"0009",23000,"07/04/2026 22:50:17"
"00010",6500000,"07/04/2026 22:50:17"
"00011",25700,"07/04/2026 22:50:17"
"00012",8500,"07/04/2026 22:50:17"
"00013",69300,"07/04/2026 22:50:17"
"00014",85400,"07/04/2026 22:50:17"
"00015",96200,"07/04/2026 22:50:17"
"00016",89000,"07/04/2026 22:50:17"
"00017",58000,"07/04/2026 22:50:17"
"00018",47000,"07/04/2026 22:50:17"
"00019",69400,"07/04/2026 22:50:17"
"00020",25000,"07/04/2026 22:50:17"
"00021",36000,"07/04/2026 22:50:17"
"00022",41000,"07/04/2026 22:50:17"
"00023",82000,"07/04/2026 22:50:17"
"00024",93000,"07/04/2026 22:50:17"
"00025",71000,"07/04/2026 22:50:17"
"00026",37000,"07/04/2026 22:50:17"
"00027",24000,"07/04/2026 22:50:17"
"00028",68000,"07/04/2026 22:50:17"
"00029",91000,"07/04/2026 22:50:17"
"00030",42000,"07/04/2026 22:50:17"
"00031",53000,"07/04/2026 22:50:17"
"00032",75000,"07/04/2026 22:50:17"
"00033",860000,"07/04/2026 22:50:17"
"00034",45600,"07/04/2026 22:50:17"
"00035",78900,"07/04/2026 22:50:17"
"00036",12300,"07/04/2026 22:50:17"
"00037",85000,"07/04/2026 22:50:17"
"00038",97000,"07/04/2026 22:50:17"
"00039",96000,"07/04/2026 22:50:17"
"00040",85000,"07/04/2026 22:50:17"
"00041",250000,"07/04/2026 22:50:17"
"00042",2566000,"07/04/2026 22:50:17"
"00043",10000,"07/04/2026 22:50:17"
"00044",15900,"07/04/2026 22:50:17"
"00045",45000,"07/04/2026 22:50:17"
"00046",63000,"07/04/2026 22:50:17"
"00047",58565,"07/04/2026 22:50:17"
"00048",23000,"07/04/2026 22:50:17"
"00049",6500000,"07/04/2026 22:50:17"
"00050",25700,"07/04/2026 22:50:17"
"00051",8500,"07/04/2026 22:50:17"
"00052",69300,"07/04/2026 22:50:17"
"00053",85400,"07/04/2026 22:50:17"
"00054",96200,"07/04/2026 22:50:17"
"00055",89000,"07/04/2026 22:50:17"
"00056",58000,"07/04/2026 22:50:17"
"00057",47000,"07/04/2026 22:50:17"
"00058",69400,"07/04/2026 22:50:17"
"00059",25000,"07/04/2026 22:50:17"
"00060",36000,"07/04/2026 22:50:17"
"00061",41000,"07/04/2026 22:50:17"
"00062",82000,"07/04/2026 22:50:17"
"00063",93000,"07/04/2026 22:50:17"
"00064",71000,"07/04/2026 22:50:17"
"00065",37000,"07/04/2026 22:50:17"
"00066",24000,"07/04/2026 22:50:17"
"00067",68000,"07/04/2026 22:50:17"
"00068",91000,"07/04/2026 22:50:17"
"00069",42000,"07/04/2026 22:50:17"
"00070",53000,"07/04/2026 22:50:17"
"00071",75000,"07/04/2026 22:50:17"
"00072",860000,"07/04/2026 22:50:17"
"00073",45600,"07/04/2026 22:50:17"
"00074",78900,"07/04/2026 22:50:17"
"00075",12300,"07/04/2026 22:50:17"
"00076",85000,"07/04/2026 22:50:17"
"00077",97000,"07/04/2026 22:50:17"
"00078",96000,"07/04/2026 22:50:17"
"00079",85000,"07/04/2026 22:50:17"
"00080",250000,"07/04/2026 22:50:17"
"00081",2566000,"07/04/2026 22:50:17"
"00082",10000,"07/04/2026 22:50:17"
"00083",15900,"07/04/2026 22:50:17"
