fecha,codigo_departamento_indec,id_provincia_indec,clae2,puestos
2014-01-01,2000,2,1,5448
2014-01-01,2000,2,2,114
2014-01-01,2000,2,3,571
2014-01-01,2000,2,5,-99
2014-01-01,2000,2,6,2701
2014-01-01,2000,2,7,165
2014-01-01,2000,2,8,359
2014-01-01,2000,2,9,1384
2014-01-01,2000,2,10,15326
2014-01-01,2000,2,11,3557
2014-01-01,2000,2,12,362
2014-01-01,2000,2,13,7420
2014-01-01,2000,2,14,13601
2014-01-01,2000,2,15,3843
2014-01-01,2000,2,16,702
2014-01-01,2000,2,17,3109
2014-01-01,2000,2,18,4291
2014-01-01,2000,2,19,1124
2014-01-01,2000,2,20,8412
2014-01-01,2000,2,21,9735
2014-01-01,2000,2,22,4851
2014-01-01,2000,2,23,2026
2014-01-01,2000,2,24,2275
2014-01-01,2000,2,25,5389
2014-01-01,2000,2,26,3851
2014-01-01,2000,2,27,3797
2014-01-01,2000,2,28,3250
2014-01-01,2000,2,29,5006
2014-01-01,2000,2,30,694
2014-01-01,2000,2,31,1665
2014-01-01,2000,2,32,1793
2014-01-01,2000,2,33,1175
2014-01-01,2000,2,35,3368
2014-01-01,2000,2,36,43
2014-01-01,2000,2,37,94
2014-01-01,2000,2,38,1553
2014-01-01,2000,2,39,87
2014-01-01,2000,2,41,16707
2014-01-01,2000,2,42,7136
2014-01-01,2000,2,43,5563
2014-01-01,2000,2,45,11406
2014-01-01,2000,2,46,50704
2014-01-01,2000,2,47,63487
2014-01-01,2000,2,49,26192
2014-01-01,2000,2,50,1648
2014-01-01,2000,2,51,1875
2014-01-01,2000,2,52,13090
2014-01-01,2000,2,53,3685
2014-01-01,2000,2,55,7886
2014-01-01,2000,2,56,33504
2014-01-01,2000,2,58,7426
2014-01-01,2000,2,59,4773
2014-01-01,2000,2,60,9998
2014-01-01,2000,2,61,11635
2014-01-01,2000,2,62,34896
2014-01-01,2000,2,63,3311
2014-01-01,2000,2,64,24658
2014-01-01,2000,2,65,24348
2014-01-01,2000,2,66,5630
2014-01-01,2000,2,68,18107
2014-01-01,2000,2,69,17418
2014-01-01,2000,2,70,14471
2014-01-01,2000,2,71,7258
2014-01-01,2000,2,72,1858
2014-01-01,2000,2,73,9260
2014-01-01,2000,2,74,1537
2014-01-01,2000,2,75,206
2014-01-01,2000,2,77,1513
2014-01-01,2000,2,78,6259
2014-01-01,2000,2,79,6029
2014-01-01,2000,2,80,15436
2014-01-01,2000,2,81,13129
2014-01-01,2000,2,82,25003
2014-01-01,2000,2,85,67858
2014-01-01,2000,2,86,43358
2014-01-01,2000,2,87,3424
2014-01-01,2000,2,88,437
2014-01-01,2000,2,90,1626
2014-01-01,2000,2,91,577
2014-01-01,2000,2,92,3291
